id,x,y
0,-0.24659,-0.04952
1,-0.54569,0.01512
2,-0.63753,-0.27947
3,-0.61117,-0.038
4,-0.35062,0.1069
5,-0.57601,-0.10103
6,-0.26393,0.09299
7,-0.32635,-0.10509
8,-0.62711,-0.42871
9,-0.27101,0.09162
10,-0.12287,-0.0334
11,-0.24514,-0.04264
12,-0.65816,-0.13911
13,-0.55215,0.03239
14,-0.64093,-0.18517
15,-0.67505,-0.10463
16,-0.56416,-0.11432
17,-0.26774,-0.19827
18,-0.63718,-0.18982
19,-0.32831,-0.00671
20,-0.17178,0.0487
21,-0.73713,-0.20795
22,-0.68902,-0.07674
23,-0.67439,-0.1047
24,-0.72995,-0.30402
25,-0.45759,0.06737
26,-0.6316,-0.27977
27,-0.75196,-0.20636
28,-0.31614,-0.11188
29,-0.47528,-0.07358
30,-0.88563,-0.7083
31,-0.8855,-0.70892
32,-0.79869,-1.11306
33,-0.79908,-1.12463
34,-0.83088,-0.88421
35,-0.83779,-1.00715
36,-0.79922,-1.13829
37,-0.68799,-1.24645
38,-0.87215,-0.92245
39,-0.92523,-0.88175
40,-0.61761,-1.17506
41,-0.98533,-0.61781
42,-0.83093,-1.01138
43,-0.6601,-1.11491
44,-0.81203,-1.01624
45,-0.7369,-1.18602
46,-0.74561,-1.04911
47,-0.93347,-0.77861
48,-0.78339,-0.82214
49,-0.86866,-1.07616
50,-0.90431,-0.98617
51,-0.84676,-0.64025
52,-0.74127,-1.05681
53,-0.90333,-0.99308
54,-0.91794,-0.64238
55,-0.72239,-1.15223
56,-0.71569,-1.12806
57,-0.93566,-0.87695
58,-0.62297,-1.1769
59,-0.95368,-0.78362
60,-0.44883,-1.11294
61,-0.7482,-0.77223
62,-0.74372,-0.95126
63,-0.63184,-0.85919
64,-0.8119,-0.7304
65,-0.705,-0.8591
66,-0.62719,-1.04386
67,-0.57153,-0.99696
68,-0.67466,-0.97443
69,-0.72551,-0.76455
70,-0.54334,-1.11085
71,-0.48988,-1.01274
72,-0.66576,-0.96595
73,-0.6918,-0.68495
74,-0.70091,-0.57608
75,-0.65594,-0.95743
76,-0.70945,-0.85805
77,-0.71291,-0.8667
78,-0.61928,-0.87076
79,-0.667,-0.67307
80,-0.62228,-0.8489
81,-0.72647,-0.61349
82,-0.56859,-0.97194
83,-0.042,-0.6796
84,-0.67559,-0.6824
85,-0.65696,-0.93425
86,-0.62813,-0.75413
87,-0.56027,-1.09075
88,-0.66075,-0.59934
89,-0.37328,-1.14975
90,-0.64527,-0.77018
91,-0.44787,-0.77451
92,-0.56711,-0.97424
93,-0.4492,-0.89275
94,-0.37512,-1.0683
95,-0.62665,-0.75582
96,-0.36773,-1.07514
97,-0.62232,-0.7517
98,-0.46779,-0.91095
99,-0.13933,-0.81287
100,-0.55451,-0.89599
101,-0.55178,-0.76455
102,-0.36369,-1.07179
103,-0.49902,-0.60732
104,-0.48444,-1.03091
105,-0.29906,-1.11602
106,-0.59903,-0.57624
107,-0.70944,-0.77849
108,-0.59684,-0.6287
109,-0.44164,-1.10949
110,-0.5454,-0.66422
111,-0.55144,-0.77397
112,-0.69224,-0.60628
113,-0.44533,-1.1198
114,-0.56655,-0.98087
115,-0.66646,-0.68546
116,-0.50565,-0.60787
117,-0.01205,-0.91737
118,-0.19049,-1.10562
119,-0.18743,-0.67208
120,-0.32615,-0.99634
121,-0.17372,-0.91052
122,-0.40501,-0.60326
123,-0.42437,-0.69404
124,-0.3449,-0.91716
125,-0.53279,-0.78261
126,-0.57744,-0.65667
127,0.03161,-0.82517
128,-0.41357,-0.97528
129,-0.26892,-1.05009
130,-0.36341,-0.82707
131,-0.28467,-1.09881
132,-0.54157,-0.87802
133,-0.46241,-0.59788
134,-0.47838,-0.93487
135,-0.43174,-0.68003
136,-0.33015,-0.74514
137,-0.53229,-0.85845
138,-0.2395,-0.60182
139,-0.44695,-0.78552
140,-0.54567,-0.75765
141,-0.45311,-0.80513
142,-0.18865,-0.798
143,-0.31826,-0.65504
144,-0.41324,-1.00449
145,-0.17142,-0.8962
146,-0.48458,-0.59906
147,-0.5407,-0.66699
148,-0.51207,-0.68791
149,-0.53246,-0.674
150,-0.089,-0.93824
151,-0.09625,-0.83553
152,-0.42157,-0.68161
153,-0.41531,-0.87997
154,-0.31766,-0.9906
155,-0.44102,-0.75644
156,-0.10774,-0.73762
157,-0.10973,-0.83207
158,-0.03024,-0.86531
159,-0.16815,-0.93945
