num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,prob_polarization,update_type,m,avg_time_to_convergence
2,wheel,0.2,0.7391,0.2609,0.0,Jeffrey,1.0,2.0698
2,wheel,0.2,0.6493,0.2677,0.083,"Jeffrey, anti-updating",1.1,1.7062
2,wheel,0.2,0.6629,0.2646,0.0725,Jeffrey,1.1,1.7255
2,wheel,0.2,0.4535,0.265,0.2815,"Jeffrey, anti-updating",1.5,1.3342
2,wheel,0.2,0.4457,0.2474,0.3069,Jeffrey,1.5,1.3161
2,wheel,0.2,0.3186,0.2553,0.4261,"Jeffrey, anti-updating",2.0,1.0792
2,wheel,0.2,0.3395,0.2395,0.421,Jeffrey,2.0,1.0937
2,wheel,0.2,0.3073,0.2318,0.4609,"Jeffrey, anti-updating",2.5,1.0761
2,wheel,0.2,0.3053,0.2308,0.4639,Jeffrey,2.5,1.0751
6,complete,0.05,0.9436,0.0564,0.0,"Jeffrey, anti-updating",0.0,2.5291
6,complete,0.05,0.9781,0.0219,0.0,Jeffrey,0.0,2.5383
6,complete,0.05,0.9536,0.0463,0.0,"Jeffrey, anti-updating",1.0,8.8773
6,complete,0.05,0.9691,0.0309,0.0,Jeffrey,1.0,5.5646
6,complete,0.05,0.5855,0.0751,0.3394,"Jeffrey, anti-updating",1.1,4.0071
6,complete,0.05,0.6304,0.0474,0.3222,Jeffrey,1.1,4.2767
6,complete,0.05,0.1638,0.0364,0.7998,"Jeffrey, anti-updating",1.5,2.9249
6,complete,0.05,0.1297,0.0344,0.8359,Jeffrey,1.5,3.012
6,complete,0.05,0.0398,0.0428,0.9174,"Jeffrey, anti-updating",2.0,2.466
6,complete,0.05,0.0159,0.0272,0.9569,Jeffrey,2.0,2.5238
6,complete,0.05,0.006,0.0466,0.9474,"Jeffrey, anti-updating",2.5,2.2486
6,complete,0.05,0.0069,0.0925,0.9006,Jeffrey,2.5,2.2527
6,wheel,0.05,0.9266,0.0734,0.0,"Jeffrey, anti-updating",0.0,3.7205
6,wheel,0.05,0.907,0.093,0.0,Jeffrey,0.0,3.4361
6,wheel,0.05,0.9336,0.0664,0.0,"Jeffrey, anti-updating",1.0,9.7152
6,wheel,0.05,0.9358,0.0642,0.0,Jeffrey,1.0,7.855
6,wheel,0.05,0.5709,0.0284,0.4007,"Jeffrey, anti-updating",1.1,5.3684
6,wheel,0.05,0.5442,0.0277,0.4281,Jeffrey,1.1,4.9358
6,wheel,0.05,0.0491,0.0415,0.9094,"Jeffrey, anti-updating",1.5,2.9489
6,wheel,0.05,0.093,0.0562,0.8508,Jeffrey,1.5,2.9405
6,wheel,0.05,0.0487,0.035,0.9163,"Jeffrey, anti-updating",2.0,2.4765
6,wheel,0.05,0.0539,0.0251,0.921,Jeffrey,2.0,2.466
6,wheel,0.05,0.0084,0.0777,0.9139,"Jeffrey, anti-updating",2.5,2.3897
6,wheel,0.05,0.0331,0.0449,0.922,Jeffrey,2.5,2.4009
6,complete,0.1,0.9795,0.0205,0.0,"Jeffrey, anti-updating",0.0,1.246
6,complete,0.1,0.9777,0.0223,0.0,Jeffrey,0.0,1.2763
6,complete,0.1,0.9729,0.0271,0.0,"Jeffrey, anti-updating",1.0,2.4107
6,complete,0.1,0.9781,0.0219,0.0,Jeffrey,1.0,2.3964
6,complete,0.1,0.7988,0.0319,0.1693,"Jeffrey, anti-updating",1.1,2.3717
6,complete,0.1,0.7724,0.0359,0.1917,Jeffrey,1.1,2.4526
6,complete,0.1,0.3774,0.027,0.5956,"Jeffrey, anti-updating",1.5,2.1173
6,complete,0.1,0.385,0.0136,0.6014,Jeffrey,1.5,2.1386
6,complete,0.1,0.0784,0.0231,0.8985,"Jeffrey, anti-updating",2.0,1.6364
6,complete,0.1,0.0942,0.0174,0.8884,Jeffrey,2.0,1.6834
6,complete,0.1,0.0571,0.0186,0.9243,"Jeffrey, anti-updating",2.5,1.5714
6,complete,0.1,0.0645,0.0323,0.9032,Jeffrey,2.5,1.5885
6,wheel,0.1,0.9867,0.0133,0.0,"Jeffrey, anti-updating",0.0,1.7161
6,wheel,0.1,0.9787,0.0213,0.0,Jeffrey,0.0,1.6726
6,wheel,0.1,0.9773,0.0227,0.0,"Jeffrey, anti-updating",1.0,3.7209
6,wheel,0.1,0.9898,0.0102,0.0,Jeffrey,1.0,3.6016
6,wheel,0.1,0.7458,0.0262,0.228,"Jeffrey, anti-updating",1.1,2.9508
6,wheel,0.1,0.7143,0.0195,0.2662,Jeffrey,1.1,3.1758
6,wheel,0.1,0.2164,0.017,0.7666,"Jeffrey, anti-updating",1.5,2.1455
6,wheel,0.1,0.1966,0.0083,0.7951,Jeffrey,1.5,2.0808
