id,x,y
0,-0.32432,1.08437
1,-0.4018,1.41345
2,-0.54204,1.41731
3,-0.60942,1.19293
4,-0.46867,1.10833
5,-0.53215,1.38448
6,-0.64597,1.30164
7,-0.60374,1.18515
8,-0.43767,1.09105
9,-0.40124,1.36909
10,-0.63767,1.02201
11,-0.63908,1.02246
12,-0.39997,1.41124
13,-0.64775,1.0317
14,-0.4747,1.11067
15,-0.50185,1.29025
16,-0.79332,1.15595
17,-0.65388,1.31012
18,-0.65296,1.02774
19,-0.39796,1.4319
20,-0.41268,1.49287
21,-0.64722,1.28337
22,-0.64761,1.30898
23,-0.67922,1.31338
24,-0.47885,1.11656
25,-0.66651,1.00706
26,-0.35857,1.23883
27,-0.54505,1.43346
28,-0.66983,1.33322
29,-0.40089,1.38587
30,-0.84214,0.40921
31,-0.66183,0.2196
32,-0.89524,0.89349
33,-0.9491,0.64739
34,-0.93898,0.52106
35,-0.94391,0.65403
36,-0.82127,0.28249
37,-0.73167,0.14986
38,-0.96294,0.78159
39,-0.94881,0.51867
40,-0.91314,0.33829
41,-0.86055,0.40189
42,-0.91007,0.38747
43,-0.94741,0.79481
44,-0.90764,0.66526
45,-0.6007,0.05654
46,-0.93759,0.50636
47,-0.95277,0.89743
48,-0.81359,0.24238
49,-0.82321,0.40807
50,-0.84428,0.41037
51,-0.9157,0.66743
52,-0.72036,0.10205
53,-0.79517,0.26671
54,-0.81901,0.26004
55,-0.86008,0.39013
56,-0.77772,0.29277
57,-0.93078,0.89291
58,-0.7476,0.26265
59,-0.95271,0.78644
60,-0.64368,0.51598
61,-0.79921,0.76534
62,-0.60856,0.35008
63,-0.45841,0.52881
64,-0.48463,0.22771
65,-0.59163,0.38995
66,0.1445,0.43614
67,-0.62429,0.26828
68,-0.70462,0.44672
69,-0.08827,0.19366
70,-0.78043,0.75203
71,-0.60975,0.3666
72,-0.70851,0.43696
73,0.18498,0.9074
74,-0.73255,0.43402
75,-0.34734,0.26602
76,-0.49837,0.26377
77,-0.6797,0.49971
78,-0.33482,0.24198
79,-0.70417,0.62324
80,-0.47936,0.49053
81,-0.48581,0.81441
82,-0.33811,0.26749
83,-0.86196,0.88059
84,-0.74984,0.81605
85,-0.66232,0.49804
86,-0.37555,0.13617
87,-0.56076,0.37145
88,-0.59124,0.3702
89,-0.66909,0.33279
90,-0.69229,0.65431
91,-0.54189,0.61616
92,-0.51399,0.63295
93,-0.50251,0.22669
94,-0.57943,0.80831
95,-0.47645,0.49789
96,-0.5933,0.59111
97,-0.71784,0.62596
98,-0.23088,0.35126
99,-0.40653,0.37804
100,-0.56557,0.40225
101,-0.64157,0.6812
102,-0.48334,0.18057
103,-0.498,0.23119
104,-0.65469,0.6322
105,-0.32137,0.48129
106,-0.41351,0.38497
107,0.07074,0.93758
108,-0.67448,0.65802
109,-0.77985,0.8037
110,-0.00983,0.59163
111,-0.49138,0.26334
112,-0.78608,0.74408
113,-0.34279,0.26822
114,-0.59184,0.53564
115,-0.57839,0.39874
116,-0.66725,0.62697
117,-0.44762,0.65575
118,-0.30144,0.52029
119,-0.49304,0.65069
120,-0.04864,0.62743
121,-0.58703,0.55198
122,-0.23654,0.3628
123,-0.62033,0.69381
124,-0.5549,0.3692
125,-0.33004,0.67575
126,-0.57345,0.39729
127,-0.59976,0.73339
128,-0.38954,0.40468
129,-0.46003,0.50519
130,-0.43179,0.79666
131,-0.441,0.52283
132,-0.40348,0.3782
133,-0.62148,0.5075
134,-0.61188,0.79079
135,-0.33134,0.26164
136,-0.67673,0.77305
137,-0.58452,0.62022
138,-0.3086,0.49388
139,-0.4194,0.36513
140,-0.41921,0.38747
141,-0.46543,0.6265
142,-0.30711,0.49704
143,-0.19049,0.66935
144,-0.63096,0.21144
145,-0.22839,0.35173
146,-0.0146,0.63047
147,-0.40139,0.37306
148,-0.67047,0.78749
149,-0.48132,0.66639
150,-0.45008,0.69997
151,-0.1562,0.52241
152,-0.47502,0.49107
153,-0.18838,0.65526
154,-0.19531,0.64971
155,-0.22654,0.3394
156,-0.47334,0.65152
157,-0.34878,0.94148
158,-0.72383,0.79017
159,-0.15756,0.50027
160,-0.32768,0.65446
161,-0.19468,0.24966
162,-0.33275,0.25856
163,-0.45353,0.6178
164,-0.17846,0.68062
165,-0.26985,0.82602
166,-0.32183,0.68888
167,-0.20767,0.1985
168,-0.2944,0.81228
169,-0.30729,0.49381
170,-0.32321,0.671
171,-0.05218,0.67557
172,-0.22898,0.36259
173,-0.4598,0.51953
174,-0.25482,0.12055
175,-0.04966,0.62867
176,-0.18549,0.68614
177,-0.20608,0.25433
178,-0.30229,0.47809
179,-0.62959,0.76786
180,-0.29936,0.52537
181,-0.11917,0.47969
182,-0.04187,0.6221
183,-0.74003,0.80573
184,-0.26852,0.81186
185,-0.27249,0.83218
186,-0.08639,0.31969
187,-0.28038,0.83985
188,-0.20072,0.21406
189,-0.04756,0.62856
190,0.03237,0.7165
191,-0.32821,0.65202
192,-0.22311,0.3732
193,0.16463,0.59888
194,-0.55237,0.79285
195,-0.05684,0.63508
196,-0.15491,0.49714
197,-0.18652,0.6398
198,-0.08724,0.3481
199,-0.29055,0.53451
200,-0.2887,0.53183
201,-0.16403,0.52024
202,0.05473,0.52192
203,-0.15425,0.49189
204,-0.17981,0.66823
205,-0.16068,0.49775
206,-0.21325,0.97084
207,-0.32837,0.66528
208,-0.23362,0.36809
209,-0.41901,0.76137
210,0.24789,1.16254
211,0.30696,1.2511
212,0.26171,1.17447
213,-0.00839,1.05756
214,0.10686,1.32406
215,0.11052,1.45148
216,0.27768,1.29321
217,-0.08218,0.93539
218,-0.1447,1.47698
219,0.04002,1.09099
220,0.27067,1.24879
221,0.23081,1.22125
222,-0.35887,0.93686
223,-0.10112,1.50878
224,0.13283,1.32178
225,-0.28385,1.50657
226,0.23591,1.15714
227,0.01959,1.0627
228,-0.35329,0.84609
229,-0.00014,1.40487
230,0.34886,1.18986
231,0.24904,1.29655
232,-0.78374,1.14912
233,0.04618,1.46177
234,0.04008,1.08434
235,0.15684,1.31194
236,-0.07666,0.94152
237,-0.02822,1.38271
238,-0.00191,1.39976
239,0.1494,1.18192
240,-0.01155,1.05558
241,-0.25678,1.37405
242,-0.1407,1.28913
243,0.02553,1.22389
244,-0.01395,1.20095
245,-0.14133,1.44482
246,-0.23182,1.17208
247,0.10533,1.29547
248,-0.15212,1.09458
249,-0.15075,1.46877
250,-0.02342,1.05209
251,-0.13211,1.29764
252,-0.21794,0.97103
253,-0.1403,1.29134
254,-0.00299,1.22824
255,-0.35751,1.24564
256,0.03925,1.06777
257,0.04287,1.26614
258,-0.01121,1.20317
259,-0.1549,1.4709
260,-0.13222,1.26841
261,0.0123,1.41182
262,0.13368,1.33323
263,-0.15664,1.44922
264,-0.00464,1.42429
265,-0.02053,1.37574
266,0.00018,1.42521
267,0.00249,1.40038
268,0.13203,1.34103
269,-0.28106,1.49635
270,-0.12159,1.31552
271,-0.75902,1.14993
272,-0.26797,1.36201
273,-0.23133,1.18263
274,-0.02578,1.39096
275,-0.64068,1.0168
276,-0.23186,1.17691
277,-0.22574,0.982
278,-0.75074,1.14526
279,-0.1426,1.47822
280,-0.28984,1.48927
281,-0.31459,1.05163
282,-0.40061,1.4327
283,-0.48116,0.98282
284,-0.13942,1.48527
285,-0.67041,1.33132
286,-0.148,1.45965
287,-0.78439,1.15306
288,-0.50079,0.98067
289,-0.15638,1.49009
290,-0.41084,1.4813
291,-0.3124,1.07154
292,-0.64911,1.02321
293,-0.26323,1.35563
294,-0.66164,1.01126
295,-0.40447,1.46156
296,-0.28462,1.50869
297,-0.55351,1.45201
298,-0.35193,1.24679
299,-0.64359,1.044
300,-0.55499,1.43798
301,-0.36824,0.94534
302,-0.77928,1.14366
303,-0.53835,1.39872
304,-0.77969,1.14554
305,-0.76555,1.27356
306,-0.68786,1.01316
307,-0.29446,1.51671
308,-0.35992,0.92535
309,-0.55106,1.44502
310,-0.49786,1.27493
311,-0.48771,1.247
312,-0.55495,1.4494
313,-0.29294,1.49974
314,-0.66134,1.32684
315,-0.47668,1.11401
316,-0.42024,1.50578
317,-0.35144,1.22671
318,-0.31482,1.07547
319,-0.16147,1.0803
320,-0.39835,1.41999
321,-0.29061,1.48966
322,-0.47922,1.11106
323,-0.5554,1.43909
324,-0.65711,1.31549
325,-0.46523,1.11432
326,-0.53559,1.3907
327,-0.55897,1.45393
328,-0.66213,1.3302
329,-0.5415,1.39821
330,0.15775,0.26057
331,-0.20598,0.07408
332,0.14022,0.28931
333,-0.19111,0.03087
334,0.1526,0.25982
335,-0.38116,0.01386
336,0.02907,0.21205
337,-0.59384,0.04133
338,0.05038,0.17682
339,0.16344,0.24883
340,-0.0877,0.1748
341,0.03931,0.1888
342,-0.54049,0.08844
343,-0.07799,0.10319
344,-0.39239,0.1425
