id,x,y
0,-0.67483,-0.22432
1,-0.62281,-0.21855
2,-0.62515,-0.23565
3,-0.55988,-0.25661
4,-0.59842,-0.24189
5,-0.69128,-0.21259
6,-0.62271,0.11561
7,-0.38461,0.34199
8,-0.31107,0.08567
9,-0.60774,-0.24734
10,-0.72518,0.11759
11,-0.61969,0.13118
12,-0.57801,-0.25141
13,-0.60605,-0.27069
14,-0.63927,-0.24186
15,0.33864,0.61441
16,0.23224,-0.32342
17,0.43271,-0.49191
18,0.14854,0.25033
19,0.69557,0.49619
20,-0.07527,0.54772
21,0.03,0.13956
22,-0.44785,0.44596
23,0.67155,0.47057
24,0.76316,0.46411
25,0.33634,0.26573
26,0.24823,0.27071
27,0.45934,-0.01009
28,0.51391,-0.15642
29,0.30749,0.61056
30,-0.18615,-0.57054
31,0.15181,0.62335
32,-0.30469,-0.58773
33,0.12541,0.66754
34,-0.54423,-0.59246
35,0.32283,0.66192
36,0.02776,-0.40061
37,0.32573,-0.40545
38,-0.26528,-0.56112
39,-0.29707,-0.58477
40,0.29851,-0.42478
41,0.43336,-0.07958
42,0.31887,0.56651
43,-0.22056,-0.63214
44,-0.29142,-0.51888
45,0.15154,0.61042
46,0.49716,0.13997
47,0.45708,0.65719
48,0.36043,0.60642
49,0.33216,-0.13882
50,0.2085,-0.2528
51,0.24276,0.66707
52,0.08999,-0.59865
53,0.46625,0.65906
54,-0.34802,-0.6014
55,-0.2855,-0.63144
56,0.20803,0.57159
57,0.20648,0.23497
58,-0.26097,-0.57278
59,0.42556,-0.1399
60,-0.08382,-0.26904
61,0.14977,-0.68314
62,0.23612,-0.11253
63,0.2986,-0.4222
64,0.21845,-0.40533
65,0.41674,-0.45422
66,-0.09463,-0.31357
67,-0.2333,-0.39686
68,-0.30215,-0.55348
69,0.1103,-0.66988
70,-0.02541,0.40012
71,0.26538,0.5804
72,0.60834,-0.14849
73,-0.22835,-0.65206
74,0.53384,0.20513
75,-0.0571,-0.31356
76,-0.05619,0.29926
77,0.45396,0.2369
78,0.16197,-0.69126
79,0.14899,0.2035
80,-0.23751,-0.63315
81,0.33987,-0.12949
82,-0.26363,-0.57878
83,0.28429,0.29745
84,-0.08203,0.54606
85,0.34038,0.57845
86,0.53774,0.12306
87,0.45226,0.60567
88,0.29994,-0.3977
89,0.32172,0.57245
90,-0.13079,0.47684
91,0.21865,-0.37878
92,-0.18687,0.50725
93,0.04797,-0.52722
94,-0.51359,0.43033
95,0.12456,-0.65512
96,0.69116,0.53913
97,-0.27698,-0.53304
98,-0.26352,0.24734
99,-0.07422,0.61232
100,0.26467,-0.20613
101,0.44593,-0.37567
102,0.51381,0.15438
103,-0.55917,-0.2055
104,-0.49971,0.43156
105,0.08632,-0.64671
106,0.14858,0.29371
107,0.59921,0.41842
108,0.04166,0.26183
109,0.03628,-0.2272
110,0.01282,0.08078
111,-0.02274,0.39421
112,0.01956,-0.31227
113,0.43696,-0.57424
114,0.13157,-0.65861
115,-0.28161,-0.56949
116,0.18945,0.26228
117,0.22686,0.27419
118,0.21858,0.20904
119,-0.75081,0.20011
120,0.28529,-0.41989
121,0.61033,0.40576
122,0.33424,-0.07566
123,0.13913,0.20068
124,0.10457,-0.20195
125,0.13656,-0.10678
126,0.15222,-0.67229
127,0.15321,0.24843
128,0.26382,0.23918
129,-0.34065,0.16265
130,0.15679,-0.12789
131,0.33116,-0.36719
132,-0.19048,0.56648
133,0.05701,-0.62493
134,0.38077,-0.4575
135,-0.60072,-0.23458
136,-0.37466,0.11458
137,-0.05877,-0.21174
138,0.62171,0.07424
139,0.67537,0.44896
140,0.4624,-0.51212
141,0.2014,0.58895
142,0.32836,-0.41562
143,-0.31021,0.13896
144,0.1562,0.28008
145,0.47029,-0.15399
146,0.61018,-0.19728
147,0.43281,-0.15162
148,0.40834,-0.61049
149,-0.21746,0.56851
150,0.31429,0.25621
151,-0.46069,0.44704
152,0.30651,0.25452
153,-0.20418,0.19343
154,-0.14322,0.44844
155,0.12566,-0.06506
156,0.25571,0.28537
157,0.10457,-0.11125
158,0.0899,-0.27594
159,0.24915,0.57353
160,-0.63764,-0.22366
161,-0.30997,0.08877
162,0.35534,0.60006
163,0.39354,-0.39238
164,-0.03326,-0.28162
165,-0.28123,0.10473
166,0.26322,0.56502
167,-0.17683,-0.26603
168,0.40894,-0.48761
169,0.09639,0.17669
170,-0.17045,-0.28188
171,0.28717,-0.35664
172,0.49353,-0.10463
173,0.38412,-0.16023
174,0.5993,0.10846
175,0.52104,0.12923
176,-0.54808,0.4143
177,0.30097,0.26717
178,-0.22255,-0.14803
179,-0.14775,-0.22082
180,0.49066,0.0691
181,-0.65972,0.13062
182,0.34147,0.29023
183,0.28288,0.27954
184,0.40721,0.27813
185,0.50393,-0.12225
186,0.43955,-0.40981
187,0.24675,0.23303
188,-0.54024,-0.27068
189,-0.39388,0.10249
190,0.06116,-0.17866
191,-0.71905,0.12271
192,-0.34089,0.05535
193,-0.69963,0.17053
194,0.54756,-0.01652
195,0.46403,-0.38314
196,-0.25331,-0.14111
197,0.26261,-0.13498
198,0.39102,0.54977
199,-0.2163,-0.47394
200,0.02832,-0.27429
201,0.22963,0.19834
202,0.49965,0.15613
203,0.44056,-0.04263
204,0.29885,-0.0821
205,-0.13894,-0.25545
206,0.13788,-0.13737
207,0.15242,-0.07062
208,0.4448,-0.48166
209,0.28268,-0.38777
210,-0.66329,0.15701
211,-0.52181,0.5242
212,-0.4341,0.42909
213,-0.51174,0.48772
214,-0.49983,0.49664
215,-0.50462,0.43526
216,-0.71981,0.15981
217,-0.16062,0.57216
218,-0.16449,0.64086
219,-0.12591,0.462
220,-0.36349,0.10317
221,-0.51313,0.54197
222,-0.1631,0.58721
223,-0.53541,0.45844
224,-0.18237,0.67682
225,-0.4439,0.42131
226,-0.22665,0.60681
227,-0.17124,0.57575
228,-0.00813,0.78157
229,-0.49132,0.47787
230,-0.22316,0.6618
231,-0.19736,0.62233
232,-0.22669,0.62406
233,-0.49034,0.44518
234,-0.46165,0.38288
235,-0.04843,0.81175
236,-0.09957,0.57854
237,-0.25659,0.59345
238,-0.2084,0.58673
239,-0.12977,0.72922
240,-0.21276,0.60051
241,-0.49419,0.49538
242,-0.72593,0.16955
243,-0.06593,0.32362
244,-0.5763,0.45301
245,-0.50029,0.51571
246,-0.51189,0.46377
247,-0.20451,0.59725
248,-0.14407,0.70115
249,-0.33287,0.08963
250,-0.46487,0.40801
251,-0.1816,0.53603
252,-0.22671,0.68074
253,-0.06924,0.75565
254,-0.48982,0.47435
255,-0.48504,0.47075
256,-0.48041,0.47987
257,-0.17377,0.53558
