id,x,y
0,0.2653,-0.04555
1,0.39207,-0.3084
2,0.28285,-0.02743
3,0.49331,0.08758
4,0.29474,-0.02538
5,0.50852,0.12105
6,0.38521,0.22744
7,0.4129,0.43902
8,0.21733,0.23871
9,0.27767,-0.04068
10,0.27296,-0.03906
11,0.50508,0.09114
12,0.40129,0.46219
13,0.25821,-0.02459
14,0.28734,-0.02057
15,0.58055,-0.43312
16,0.40816,-0.32232
17,1.09155,-0.37494
18,0.41165,0.49049
19,0.94387,-0.0323
20,0.60462,-0.38608
21,0.68077,-0.33988
22,0.75376,0.48737
23,0.94482,-0.36076
24,0.50549,0.39265
25,0.92889,0.28971
26,0.34652,-0.29966
27,0.52791,-0.43477
28,0.8712,-0.54165
29,0.92415,0.30948
30,1.08517,0.71097
31,1.52909,0.28297
32,1.32208,0.46414
33,1.04425,0.76495
34,1.3214,0.19345
35,1.29564,0.45214
36,1.05912,0.63912
37,1.47839,0.29977
38,1.28602,0.43539
39,1.35171,0.66471
40,0.95162,0.78642
41,1.07799,0.57307
42,1.58939,0.57567
43,1.51996,0.29301
44,1.25277,0.40571
45,1.38591,-0.06234
46,1.28649,0.43159
47,1.045,-0.66095
48,1.44141,-0.06097
49,1.51947,0.52262
50,1.28465,0.45027
51,1.10858,0.57557
52,1.13534,0.63396
53,1.52838,0.51021
54,1.11559,0.63602
55,1.35696,0.16662
56,1.53097,-0.02087
57,1.04525,0.53824
58,1.58624,0.571
59,1.04541,0.60566
60,1.22469,0.38335
61,1.05232,0.55112
62,0.65863,0.56635
63,1.39471,-0.04191
64,1.53768,-0.01911
65,0.92578,0.43817
66,1.46943,-0.36751
67,1.11707,0.33323
68,1.49806,0.31912
69,1.05159,0.61225
70,1.0308,0.54298
71,1.4648,0.26296
72,1.36318,0.17232
73,1.32755,0.12513
74,0.76424,-0.66982
75,1.01192,0.52247
76,1.4753,-0.01969
77,1.49373,-0.04794
78,1.26742,-0.19495
79,1.03992,-0.04132
80,0.84294,-0.58376
81,1.2068,0.1034
82,0.79607,-0.63157
83,0.77252,-0.62773
84,1.232,0.11003
85,0.63555,0.54942
86,1.38678,0.19673
87,1.4103,-0.02994
88,1.28807,0.15274
89,1.20464,0.69
90,0.97443,-0.33752
91,1.04636,-0.04257
92,1.16331,0.14573
93,1.32356,-0.22463
94,1.44553,-0.01647
95,1.1497,-0.10056
96,1.00612,-0.02426
97,1.27997,-0.17899
98,0.94338,-0.36073
99,0.39652,-0.25821
100,1.18537,0.09621
101,1.45774,-0.03568
102,1.06379,-0.67632
103,0.96577,-0.59015
104,1.18384,-0.42444
105,0.94754,-0.58223
106,1.53515,-0.56865
107,0.75303,-0.58447
108,0.99823,-0.35063
109,0.93122,0.28985
110,1.39102,-0.75232
111,1.40866,0.21914
112,0.90418,-0.25908
113,1.23224,-0.18911
114,1.02516,0.25332
115,0.95985,-0.07227
116,1.45192,-0.03445
117,0.83375,-0.53015
118,0.91573,0.44137
119,1.45155,0.25136
120,1.25245,0.10744
121,0.27144,0.23314
122,1.43508,-0.0258
123,0.64387,-0.39243
124,0.71371,-0.22283
125,0.71512,-0.22724
126,1.21926,-0.16908
127,0.91744,0.00282
128,1.4455,-0.31806
129,1.22139,-0.1683
130,0.97625,-0.0615
131,0.66411,-0.43609
132,1.24506,0.12606
133,0.93773,-0.05192
134,1.21605,-0.4795
135,0.68131,0.31245
136,0.70122,-0.60452
137,0.56104,-0.42773
138,1.29158,-0.19836
139,0.55652,-0.43208
140,0.92534,0.26964
141,0.7341,-0.66505
142,1.05015,-0.70738
143,1.08229,-0.07233
144,1.03201,-0.66861
145,1.00392,0.24024
146,1.2352,0.12743
147,0.94505,0.29768
148,0.71368,-0.23232
149,0.96696,-0.36503
150,0.68477,-0.27429
151,0.96838,-0.33635
152,1.01366,-0.11107
153,1.26986,-0.21229
154,0.97865,-0.61211
155,0.69243,0.22768
156,1.03549,-0.0752
157,1.04088,-0.70287
158,0.81072,-0.55173
159,0.67182,-0.38623
160,0.97498,-0.03457
161,1.46363,-0.35389
162,0.7101,-0.56918
163,1.16995,-0.45439
164,1.16345,-0.12304
165,0.29602,0.22993
166,1.21743,-0.16318
167,1.51334,-0.37043
168,1.19468,-0.4373
169,1.18877,-0.44488
170,0.82732,0.1088
171,0.40194,-0.31146
172,0.98639,-0.3609
173,0.68621,-0.34714
174,1.01059,0.25612
175,0.80753,-0.69058
176,0.9506,-0.37653
177,0.98874,-0.02785
178,0.71331,-0.44924
179,0.86625,-0.40125
180,1.20447,-0.48736
181,1.30749,-0.63741
182,0.97226,-0.3608
183,0.79631,-0.55219
184,1.20873,-0.15827
185,1.58183,-0.62925
186,0.84261,-0.54817
187,0.59682,-0.40589
188,0.97129,-0.06093
189,0.94759,-0.38561
190,1.10814,-0.04271
191,1.20239,-0.45247
192,0.95513,-0.06462
193,0.95314,-0.35307
194,1.08133,-0.76849
195,0.68554,-0.23245
196,0.77005,-0.45829
197,0.94694,0.22868
198,0.91257,-0.02743
199,0.74139,-0.59647
200,0.9579,-0.32222
201,1.0426,-0.70109
202,0.60729,-0.50556
203,0.7846,0.21749
204,0.86221,-0.30949
205,0.65465,-0.14349
206,1.00343,-0.3872
207,1.22838,-0.15746
208,0.79674,-0.53609
209,0.80172,-0.56368
210,0.86815,0.70885
211,0.8682,0.65406
212,0.42734,0.48969
213,0.69576,0.30373
214,0.45124,0.48332
215,0.90647,0.3342
216,0.42905,0.43415
217,0.66358,0.52572
218,0.43305,0.46669
219,0.85307,0.51164
220,0.41281,0.47028
221,0.84538,0.68754
222,0.65741,0.58528
223,0.43009,0.4383
224,0.27422,0.22079
225,0.61252,0.61231
226,0.77275,0.50302
227,0.68705,0.58208
228,0.27094,-0.02799
229,0.31996,0.23043
230,0.80871,0.62284
231,0.6017,0.6379
232,0.66993,0.69191
233,0.90889,0.64725
234,0.68925,0.57618
235,0.4263,0.48893
236,0.79588,0.65984
237,0.46077,0.41574
238,0.41817,-0.25015
239,0.59234,0.59551
240,0.67097,0.3184
241,0.88658,0.49521
242,0.71616,0.49383
243,0.26142,-0.02674
244,0.73215,0.52231
245,0.47754,0.40615
246,0.6062,0.62725
247,0.92232,0.35274
248,0.4621,0.4618
249,0.5979,0.59833
250,0.87907,0.4693
251,0.37306,-0.28421
252,0.46435,0.41419
253,0.88771,0.32707
254,0.44177,0.49129
255,0.65737,0.5439
256,0.43345,0.49036
257,0.7222,0.6093
258,0.40532,0.45736
259,0.60905,0.30207
260,0.65685,0.53536
261,0.43274,0.49296
262,0.42457,0.48297
263,0.70031,0.52604
264,0.39989,0.46467
265,0.40681,-0.2562
266,0.68108,0.34073
267,0.45182,0.43516
268,0.57894,0.07839
269,0.43965,-0.23976
270,0.53205,0.09495
271,0.47477,0.41964
272,0.64276,0.55051
273,0.73405,0.13461
274,0.44635,0.44702
275,0.52868,0.06478
276,0.29788,-0.03105
277,0.32567,0.21382
278,0.66171,0.27565
279,0.26339,-0.03067
280,0.33914,-0.30691
281,0.72272,0.50176
282,0.705,0.26808
283,0.35939,-0.29014
284,0.42675,0.43909
285,0.52093,0.07973
286,0.72852,0.50188
287,0.68466,0.30727
288,0.64581,0.56188
289,0.66509,0.54037
290,0.68217,0.32731
291,0.64363,0.56502
292,0.62528,0.30341
293,0.42085,0.44209
294,0.4709,0.42863
295,0.69057,0.31782
296,0.64451,0.54768
297,0.86962,0.38828
298,0.30589,0.23181
299,0.69656,0.29485
300,0.42525,0.43504
301,0.27651,0.23274
302,0.40451,-0.25764
303,0.60263,-0.03997
304,0.66887,-0.18337
305,0.22676,0.23794
306,0.29586,0.2335
307,0.54516,0.08666
308,0.37306,-0.27795
309,0.28526,-0.02088
310,0.26804,0.22658
311,0.4305,-0.25078
312,0.23057,-0.03694
313,0.48561,0.38737
314,0.22712,-0.03905
315,0.27986,0.24185
